tulugan (sleep in or on)              tinulugan           tinutulugan         tutulugan           tulugan
tulong (help)                         tumulong            tumutulong          tutulong            tumulong
tulungan (help out)                   tinulungan          tinutulungan        tutulungan          tulungan
tuloy (proceed)                       tumuloy             tumutuloy           tutuloy             tumuloy
tunaw (melt/dissolve)                 natunaw             natutunaw           matutunaw           matunaw
tungo (go to)                         tumungo             tumutungo           tutungo             tumungo
tupad (fulfill/accomplish)            tumupad             tumutupad           tutupad             tumupad
tuparin (fulfill/accomplish)          tinupad             tinutupad           tutuparin           tuparin
turo (teach)                          nagturo             nagtuturo           magtuturo           magturo
turuan (teach)                        tinuruan            tinuturuan          tuturuan            turuan
tuto (learn)                          natuto              natututo            matututo            matuto
tutol (disagree with/object)          tumutol             tumututol           tututol             tumutol
tutulan (disagree/object/protest)     tinutulan           tinututulan         tututulan           tutulan
tutunan (learn)                       natutunan           natututunan         matututunan         matutunan
ubos (use up/consume completely)      umubos              umuubos             uubos               umubos
ubusin (use up/consume completely)    inubos              inuubos             uubusin             ubusin
ulat (report)                         nag-ulat            nag-uulat           mag-uulat           mag-ulat
ulit (repeat)                         nag-ulit            nag-uulit           mag-uulit           mag-ulit
ulitin (repeat)                       inulit              inuulit             uulitin             ulitin
umurong (retreat/withdraw)            umurong             umuurong            uurong              umurong
umuwi (go home)                       umuwi               umuuwi              uuwi                umuwi
unawa (understand)                    umunawa             umuunawa            uunawa              umunawa
unawain (understand)                  inunawa             inuunawa            uunawain            unawain
unlad (develop)                       umunlad             umuunlad            uunlad              umunlad
paunlarin (improve)                   pinaunlad           pinauunlad          pauunlarin          paunlarin
upa (pay rent)                        umupa               umuupa              uupa                umupa
upahan (rent/lease a place)           inupahan            inuupahan           uupahan             upahan
upo (sit)                             umupo               umuupo              uupo                umupo
upuan (sit on)                        inupuan             inuupuan            uupuan              upuan
usap (talk/converse)                  nag-usap            nag-uusap           mag-uusap           mag-usap
kausapin (speak with)                 kinausap            kinakausap          kakausapin          kausapin
utang (borrow money)                  umutang             umuutang            uutang              umutang
utangan (borrow money from)           inutangan           inuutangan          uutangan            utangan
utos (give an order)                  nag-utos            nag-uutos           mag-uutos           mag-utos
utusan (ask to do something)          inutusan            inuutusan           uutusan             utusan
wakas (put an end to)                 nagwakas            nagwawakas          magwawakas          magwakas
wakasan (put an end to)               winakasan           winawakasan         wawakasan           wakasan
wala (disappear)                      nawala              nawawala            mawawala            mawala
walis (sweep)                         nagwalis            nagwawalis          magwawalis          magwalis
